technique,p50_latency_sec,p95_latency_sec,p99_latency_sec,mean_ttft_sec,throughput_tok_per_sec,peak_memory_mb,perplexity
none,4.954342307000388,5.671174860599922,5.693633773720021,0.06155140919991027,19.940217846514766,3305.9716796875,9.889843034365109
int4,7.217721367000195,7.599773074200265,7.64765969564035,0.08633437720000074,14.097186373692958,1312.68359375,10.987021257520171
int8,18.193658599999708,19.076033538300088,19.259690808460054,0.1995408050000151,5.45185383750289,1987.39990234375,10.191767728212923
